,year,year,month,month,0-9(population),0-9(confirmed_case),0-9(rate),10-19(population),10-19(confirmed_case),10-19(rate),20-29(population),20-29(confirmed_case),20-29(rate),30-39(population),30-39(confirmed_case),30-39(rate),40-49(population),40-49(confirmed_case),40-49(rate),50-59(population),50-59(confirmed_case),50-59(rate),60-69(population),60-69(confirmed_case),60-69(rate),70-79(population),70-79(confirmed_case),70-79(rate),over80(population),over80(confirmed_case),over80(rate)
0,2020,2020,01,01,4148654,0.0,0.0,4940455,0.0,0.0,6806410,3,4.407609885387451e-07,7045120,2,2.838844476744186e-07,8389281,0,0.0,8666971,5,5.769028187587105e-07,6344284,1,1.5762219976281012e-07,3607104,0,0.0,1899230,0.0,0.0
1,2020,2020,02,02,4134824,19.0,4.5951169868415195e-06,4920794,99.0,2.0118704420465476e-05,6786097,853,0.0001256981737808935,7026850,358,5.094743732967119e-05,8397417,437,5.203981176592755e-05,8666798,578,6.66912970626522e-05,6385073,389,6.0923344181029725e-05,3612980,133,3.6811717750997793e-05,1913794,54.0,2.8216202997814812e-05
2,2020,2020,03,03,4119475,94.0,2.281844167035848e-05,4902009,416.0,8.486316528590625e-05,6799238,1798,0.0002644413976978008,7006749,653,9.319586016282301e-05,8375429,878,0.0001048304510730137,8662400,1266,0.00014614887329146656,6426006,845,0.0001314969204821782,3623899,518,0.00014293996604209996,1927990,387.0,0.0002007271821949284
3,2020,2020,04,04,4103848,27.0,6.579191042163355e-06,4887408,76.0,1.5550164831747215e-05,6802925,297,4.365769136070146e-05,6995799,145,2.072672471007243e-05,8362127,112,1.3393721477801043e-05,8661935,107,1.2352898053379528e-05,6456674,113,1.7501270778112694e-05,3632966,58,1.5964916820030795e-05,1938842,44.0,2.2693958558768586e-05
4,2020,2020,05,05,4089462,17.0,4.157026034231398e-06,4872081,66.0,1.3546572809442208e-05,6804350,223,3.277315246864138e-05,6985248,134,1.91832845448007e-05,8346911,94,1.1261651166521363e-05,8668601,83,9.574786058327058e-06,6481317,57,8.79450889379427e-06,3646121,16,4.38822518506654e-06,1947280,13.0,6.675978801199622e-06
5,2020,2020,06,06,4075794,35.0,8.587283851931673e-06,4861506,51.0,1.0490576376949858e-05,6803579,188,2.7632515180613026e-05,6972185,204,2.925912034749508e-05,8342267,160,1.9179438874349142e-05,8652260,247,2.8547454653466262e-05,6523322,263,4.0316881490749654e-05,3658049,125,3.4171220779163975e-05,1950446,58.0,2.9736788406343985e-05
6,2020,2020,07,07,4062274,54.0,1.3293047194748556e-05,4850566,74.0,1.5255951573486476e-05,6801367,258,3.793355071120262e-05,6956361,314,4.513854298245879e-05,8338271,249,2.9862305986456906e-05,8653176,233,2.692652963489937e-05,6549914,185,2.8244645654889514e-05,3671175,97,2.6422058332822597e-05,1956748,42.0,2.146418445298015e-05
7,2020,2020,08,08,4045950,196.0,4.8443505233628694e-05,4838700,363.0,7.502015004030009e-05,6800612,700,0.00010293191259845437,6939804,681,9.812957253547795e-05,8330276,763,9.159360386138466e-05,8651547,1119,0.0001293410299915148,6590179,1114,0.0001690394145591493,3676849,517,0.00014060952734256969,1966036,188.0,9.562388481187526e-05
8,2020,2020,09,09,4027765,136.0,3.376562435991176e-05,4828702,161.0,3.334229364330207e-05,6801056,442,6.498990744966664e-05,6922566,417,6.023777888141478e-05,8321409,485,5.8283398881126985e-05,8652305,783,9.049611635281003e-05,6630461,814,0.00012276672768303743,3680759,442,0.00012008392834195338,1976763,185.0,9.358734456280293e-05
9,2020,2020,10,10,4005030,114.0,2.846420626062726e-05,4818481,151.0,3.1337676749166385e-05,6802784,407,5.9828446706524856e-05,6900752,376,5.448681534997925e-05,8312221,385,4.6317344064841394e-05,8655292,451,5.2106849774681203e-05,6669780,427,6.402010261208016e-05,3687451,210,5.694990930048969e-05,1986225,179.0,9.012070636508956e-05
10,2020,2020,11,11,3984472,301.0,7.554325893117081e-05,4807963,592.0,0.00012312906734099244,6804936,1296,0.0001904499910065282,6884029,1096,0.0001592090910715222,8305172,1233,0.00014846170554926497,8653322,1347,0.00015566276165384808,6707084,1031,0.00015371806883587562,3693926,507,0.00013725234344163907,1993398,285.0,0.00014297195040829778
11,2020,2020,12,12,3970070,1098.0,0.00027656943076570436,4793336,1720.0,0.00035883151108121776,6806153,3243,0.0004764806198156286,6873117,3346,0.0004868242458261659,8294787,3825,0.00046113299835185643,8645014,5174,0.0005984952713783922,6744506,4385,0.0006501588107416615,3698246,2145,0.0005800046833012191,2003794,1587.0,0.0007919975805896215
12,2021,2021,01,01,3944244,893.0,0.00022640587144203046,4784388,1433.0,0.0002995158419425849,6792483,2235,0.0003290402051797553,6856414,2246,0.0003275764853172518,8285935,2591,0.00031269856690886423,8642700,3282,0.0003797424415981117,6794549,2644,0.00038913546726942436,3707683,1242,0.00033498009403716555,2017536,904.0,0.0004480713107473671
13,2021,2021,02,02,3927428,637.0,0.00016219266145681092,4772917,829.0,0.00017368833357043502,6771959,1597,0.0002358254088661789,6834586,1732,0.00025341695897893447,8287143,1643,0.00019825891745804314,8644918,2021,0.00023377896701854198,6840597,1756,0.00025670274100345335,3710261,801,0.00021588777716715886,2034333,450.0,0.00022120272344793108
14,2021,2021,03,03,3908794,749.0,0.00019161920530987308,4761113,978.0,0.00020541415421142074,6767952,1922,0.00028398546561795944,6812701,2131,0.0003127981104704287,8250451,2151,0.00026071302041549003,8613059,2318,0.00026912621868722833,6876287,1964,0.0002856192593473774,3694544,825,0.00022330225326860364,2021004,376.0,0.00018604614340199228
15,2021,2021,04,04,3891405,913.0,0.00023461962967103142,4753626,1520.0,0.00031975590843705417,6761949,2735,0.00040446918484596673,6802386,2596,0.0003816307983698661,8244087,3061,0.000371296421301716,8604370,3554,0.00041304592898724717,6918145,2791,0.0004034318448081097,3693918,1186,0.00032106830741776077,2032214,571.0,0.00028097434620566534
16,2021,2021,05,05,3874174,910.0,0.00023488877887260613,4746103,1469.0,0.0003095170922333544,6754283,2884,0.00042698832725842256,6788072,2837,0.0004179389965221347,8220344,3070,0.0003734636895974183,8606589,3253,0.0003779662302916986,6957802,2515,0.00036146472693531666,3694633,985,0.0002666029345810531,2041025,406.0,0.0001989196604647175
17,2021,2021,06,06,3859229,959.0,0.00024849523052402435,4741570,1346.0,0.0002838722195390978,6745313,3062,0.00045394483547316484,6775108,2780,0.00041032556233789924,8216263,3087,0.00037571825536743405,8590314,2938,0.00034201310918320334,7001815,1771,0.0002529344177188343,3694311,515,0.00013940353153808654,2048477,165.0,8.054764588521131e-05
18,2021,2021,07,07,3843759,2479.0,0.0006449415793237818,4737829,4335.0,0.0009149760364926637,6733054,9890,0.0014688728175951062,6764334,6967,0.0010299609688108244,8205797,7308,0.0008905899085731709,8591085,6810,0.0007926821815870754,7039371,2591,0.0003680726587645402,3699044,713,0.00019275250578257516,2057296,279.0,0.00013561490422379666
19,2021,2021,08,08,3827185,3424.0,0.0008946523358552042,4733729,5541.0,0.0011705359559028411,6721376,12236,0.0018204605723589932,6753189,8925,0.0013215978406646105,8192793,8353,0.001019554625632553,8598568,8237,0.0009579502075229271,7072000,4364,0.0006170814479638009,3703046,1364,0.000368345410778046,2067830,629.0,0.00030418361277281017
20,2021,2021,09,09,3809849,3874.0,0.0010168382001491398,4727626,5964.0,0.0012615211101724205,6708734,13556,0.0020206494995926205,6745531,11266,0.0016701427952817947,8182067,10157,0.001241373359567943,8610979,7223,0.0008388128690129194,7097818,4982,0.0007019058533199921,3705737,1923,0.0005189251153009509,2079347,906.0,0.0004357137120451757
21,2021,2021,10,10,3792548,4207.0,0.0011092806208385497,4721726,6855.0,0.001451799617343319,6691903,8963,0.0013393798445673823,6739933,9008,0.0013365118021202882,8169827,7936,0.0009713791981152111,8622455,5822,0.0006752137297324254,7124259,6117,0.0008586156118131022,3710920,2748,0.0007405171763336315,2088719,1751.0,0.0008383128606576567
22,2021,2021,11,11,3775503,7214.0,0.0019107387810312958,4716775,9525.0,0.0020193882472664057,6674970,7450,0.0011161098851380606,6731509,10213,0.0015171932474575909,8165990,9726,0.0011910374614712974,8631102,10338,0.0011977613055667747,7147578,15516,0.0021708052713800396,3712470,7760,0.002090252581165639,2096807,4757.0,0.0022686875806881605
23,2021,2021,12,12,3760350,20783.0,0.005526879146887923,4709316,19474.0,0.004135207745668373,6655923,18184,0.0027320027590463413,6723435,23245,0.003457310139831797,8166792,24414,0.0029894235092555316,8635211,24350,0.00281985003030036,7164712,33198,0.004633542841638296,3715084,13582,0.0036559065690035543,2107986,6285.0,0.0029815188525920003
24,2022,2022,01,01,3736642,25542.0,0.006835549137434092,4706002,35769.0,0.007600719251713025,6632711,43080,0.00649508172450149,6704271,32855,0.0049006073889316226,8166823,33524,0.00410490101230307,8635055,22340,0.0025871288602099234,7196303,13272,0.001844280320047669,3724894,4742,0.001273056360798455,2129772,3556.0,0.0016696622924895247
25,2022,2022,02,02,3718850,297636.0,0.08003441924250776,4702667,329742.0,0.07011808405740827,6606751,394189,0.059664576430987035,6681507,348856,0.05221217309208836,8172801,369683,0.04523332943014274,8630063,257524,0.029840338361376968,7228356,175967,0.02434398637809206,3736880,68443,0.018315546659245147,2147686,45806.0,0.021328071235739304
26,2022,2022,03,03,3697734,1279285.0,0.34596458263358043,4699914,1352696.0,0.2878129259386448,6594325,1390640,0.2108843588995083,6673424,1463168,0.21925296519447887,8157546,1533008,0.187925143174185,8638696,1201246,0.13905408871894553,7237134,997873,0.1378823440328727,3749844,461844,0.12316352360258187,2162078,279610.0,0.1293246589623501
27,2022,2022,04,04,3679892,448522.0,0.12188455530760142,4697255,481777.0,0.10256564738341861,6579507,554366,0.08425646480807757,6666711,601973,0.09029534953592559,8153849,639868,0.07847434996650049,8647758,546779,0.06322783315629323,7243664,468720,0.064707584448975,3755435,248930,0.0662852638908675,2168589,151160.0,0.06970431003754055
28,2022,2022,05,05,3662692,74973.0,0.020469370615929485,4695186,108245.0,0.023054464721951377,6564754,147723,0.022502442589623313,6660669,122847,0.01844364282326595,8142338,126999,0.015597362821341979,8650247,114821,0.013273725016175839,7245254,91553,0.012636271965068443,3783011,49269,0.013023752772593048,2179571,29484.0,0.013527432692029762
29,2022,2022,06,06,3644574,20629.0,0.005660195128429276,4696377,32193.0,0.0068548585430854465,6547881,55015,0.008401954769794991,6653299,39343,0.005913307067666732,8141674,37247,0.004574857701254067,8649731,32572,0.0037656662386379414,7260782,22896,0.003153379346742541,3795157,10240,0.0026981755958976135,2188703,5445.0,0.002487774723203651
30,2022,2022,07,07,3624681,125286.0,0.03456469686573798,4696767,200684.0,0.042728114892648494,6531636,260737,0.039919095307821804,6647003,215638,0.03244138749448436,8134712,214643,0.02638606013341345,8651892,181020,0.02092259126674258,7279621,126705,0.01740543910184335,3807864,60949,0.01600608635182349,2200270,30301.0,0.013771491680566477
31,2022,2022,08,08,3606212,295667.0,0.0819882469472122,4698846,372182.0,0.07920710744723279,6513110,526134,0.0807807637211716,6640555,496001,0.07469270264307727,8122023,510309,0.06283028255398931,8645832,495779,0.05734312209628871,7303567,417446,0.0571564551951122,3815045,229642,0.06019378539440557,2213251,126727.0,0.05725830463874183
32,2022,2022,09,09,3587171,130031.0,0.03624889920218467,4700253,192161.0,0.040883118419370194,6487234,195593,0.03015044624565724,6629383,203492,0.0306954659279755,8099849,223579,0.02760286025085159,8623902,207778,0.024093270076584822,7309977,191533,0.02620158722797623,3813420,112508,0.029503175627127357,2215469,66046.0,0.029811295035046755
33,2022,2022,10,10,3566622,54166.0,0.015186919163286718,4703349,94171.0,0.02002211615595611,6463741,100544,0.015555078707516282,6625319,109425,0.016516185862144903,8088855,116301,0.014377931116332288,8614576,111750,0.012972199676455347,7346707,103100,0.014033498273444142,3814072,61356,0.016086744036295068,2236385,37608.0,0.016816424721145955
34,2022,2022,11,11,3548291,97997.0,0.02761808431157422,4704693,174410.0,0.037071494356805006,6441542,205416,0.03188925881411625,6620713,219729,0.033188117352315374,8083707,230072,0.028461199793609542,8607789,221634,0.025748075376847642,7379420,198906,0.026954150868225415,3818887,115754,0.030310925670228,2245787,77400.0,0.03446453292320242
35,2022,2022,12,12,3532642,117836.0,0.03335633783440269,4703196,229013.0,0.04869305893269173,6417181,268421,0.041828491357809604,6615511,296395,0.044803039402398395,8073117,301837,0.03738791349115837,8612064,287658,0.03340174898839581,7403539,242678,0.032778648157320435,3825717,129443,0.033834964792220645,2256071,87298.0,0.038694704200355395
36,2023,2023,01,01,3510756,59399.0,0.01691914789862924,4702482,96262.0,0.020470466447293154,6393461,158588,0.024804718445924672,6600252,171902,0.0260447631393468,8065721,171203,0.02122600075058386,8616924,167410,0.019428046481551886,7434333,148364,0.019956598661910893,3835199,85888,0.022394665830899517,2270890,58347.0,0.02569345058545328
37,2023,2023,02,02,3494655,20601.0,0.005895002510977478,4697666,28367.0,0.006038530623505375,6366296,47981,0.007536721509650195,6581804,52832,0.008026978621666644,8068794,50101,0.006209230276544425,8622349,46981,0.005448747203343311,7461127,43966,0.00589267546310363,3840239,26998,0.007030291604246506,2288549,19470.0,0.008507574013053685
38,2023,2023,03,03,3478290,17760.0,0.005105957237608135,4690388,45567.0,0.009714974539419767,6349354,46316,0.007294600364068533,6585469,45220,0.006866633188919422,8047460,43444,0.005398473555631218,8620204,38520,0.004468571741457626,7485540,34463,0.004603943068903512,3855550,21085,0.005468739868501251,2302026,14627.0,0.006353968200185402
39,2023,2023,04,04,3460142,15503.0,0.004480451958330034,4684275,36702.0,0.007835150583601519,6333731,51065,0.00806238850371132,6589037,56736,0.00861066647523758,8027947,51145,0.006370869164930959,8609976,46930,0.0054506539855627935,7525051,46767,0.006214841600409087,3865977,29067,0.007518668631499877,2312019,19148.0,0.008281938859498992
40,2023,2023,05,05,3445285,21431.0,0.006220385251147583,4679181,61744.0,0.013195471600692515,6318641,77476,0.012261497369450172,6588734,83275,0.01263899863008584,8007347,75658,0.009448572667076873,8622447,68542,0.007949251529177274,7537569,71734,0.009516861470853533,3883027,44984,0.011584776515847044,2318290,28503.0,0.012294838005598954
41,2023,2023,06,06,3431910,22743.0,0.006626922034668741,4676000,59677.0,0.01276240376390077,6301901,67360,0.010688838177559438,6588552,78237,0.011874688095350845,7998075,72981,0.009124820659971306,8627184,67012,0.007767540370067452,7553882,72696,0.009623661052687877,3894490,43725,0.011227400763642993,2320751,24345.0,0.010490138752498653
42,2023,2023,07,07,3415119,39774.0,0.011646446287816033,4674885,122479.0,0.026199361053801322,6284235,131080,0.020858545232633724,6588036,145442,0.022076685676884582,7988791,145700,0.018238053793120886,8631299,132112,0.01530615495998922,7571631,137775,0.01819621162204022,3907575,86238,0.022069442045258247,2325562,49027.0,0.021081785822093756
43,2023,2023,08,08,3398415,56328.0,0.016574785598580513,4673674,130034.0,0.02782265087380934,6265976,184949,0.029516391381007524,6587136,202606,0.030757828591970775,7977613,198037,0.0248240921187829,8634255,190991,0.022120148177231274,7589676,202496,0.026680453816473854,3918796,126479,0.03227496404507915,2331672,78436.0,0.03363937980985319
