local_id,년-월,총인구수
11,2020-01,9733509
11,2020-02,9736962
11,2020-03,9733655
11,2020-04,9726787
11,2020-05,9724496
11,2020-06,9720846
11,2020-07,9715429
11,2020-08,9708247
11,2020-09,9699232
11,2020-10,9689159
11,2020-11,9679771
11,2020-12,9668465
11,2021-01,9657969
11,2021-02,9648606
11,2021-03,9598484
11,2021-04,9588711
11,2021-05,9575355
11,2021-06,9565990
11,2021-07,9558153
11,2021-08,9550227
11,2021-09,9542256
11,2021-10,9532428
11,2021-11,9520880
11,2021-12,9509458
11,2022-01,9505926
11,2022-02,9508451
11,2022-03,9506778
11,2022-04,9500480
11,2022-05,9496887
11,2022-06,9494807
11,2022-07,9493211
11,2022-08,9488454
11,2022-09,9450768
11,2022-10,9443722
11,2022-11,9436836
11,2022-12,9428372
21,2020-01,3411819
21,2020-02,3410925
21,2020-03,3409932
21,2020-04,3408347
21,2020-05,3406942
21,2020-06,3404423
21,2020-07,3402776
21,2020-08,3401072
21,2020-09,3399749
21,2020-10,3397598
21,2020-11,3395514
21,2020-12,3391946
21,2021-01,3389388
21,2021-02,3387761
21,2021-03,3372399
21,2021-04,3369704
21,2021-05,3367334
21,2021-06,3364358
21,2021-07,3361781
21,2021-08,3359527
21,2021-09,3358763
21,2021-10,3356311
21,2021-11,3353627
21,2021-12,3350380
21,2022-01,3348874
21,2022-02,3347396
21,2022-03,3343504
21,2022-04,3340214
21,2022-05,3338167
21,2022-06,3336737
21,2022-07,3334595
21,2022-08,3331444
21,2022-09,3323826
21,2022-10,3322286
21,2022-11,3320276
21,2022-12,3317812
22,2020-01,2436488
22,2020-02,2432883
22,2020-03,2433568
22,2020-04,2431523
22,2020-05,2429059
22,2020-06,2427954
22,2020-07,2428022
22,2020-08,2428228
22,2020-09,2426849
22,2020-10,2424171
22,2020-11,2421859
22,2020-12,2418346
22,2021-01,2415813
22,2021-02,2413191
22,2021-03,2408875
22,2021-04,2406296
22,2021-05,2402940
22,2021-06,2397646
22,2021-07,2395749
22,2021-08,2393626
22,2021-09,2392787
22,2021-10,2390721
22,2021-11,2388230
22,2021-12,2385412
22,2022-01,2383858
22,2022-02,2381095
22,2022-03,2380494
22,2022-04,2378573
22,2022-05,2376676
22,2022-06,2375306
22,2022-07,2374120
22,2022-08,2371936
22,2022-09,2367735
22,2022-10,2366852
22,2022-11,2365619
22,2022-12,2363691
23,2020-01,2956119
23,2020-02,2954955
23,2020-03,2952689
23,2020-04,2950972
23,2020-05,2950063
23,2020-06,2947217
23,2020-07,2945565
23,2020-08,2943491
23,2020-09,2942553
23,2020-10,2942233
23,2020-11,2942307
23,2020-12,2942828
23,2021-01,2942452
23,2021-02,2941705
23,2021-03,2936461
23,2021-04,2936214
23,2021-05,2936382
23,2021-06,2936367
23,2021-07,2937440
23,2021-08,2938429
23,2021-09,2941795
23,2021-10,2945009
23,2021-11,2946319
23,2021-12,2948375
23,2022-01,2949150
23,2022-02,2950978
23,2022-03,2952699
23,2022-04,2953260
23,2022-05,2955167
23,2022-06,2957066
23,2022-07,2960580
23,2022-08,2963117
23,2022-09,2960097
23,2022-10,2962388
23,2022-11,2964820
23,2022-12,2967314
24,2020-01,1456688
24,2020-02,1456121
24,2020-03,1455705
24,2020-04,1456096
24,2020-05,1455533
24,2020-06,1455048
24,2020-07,1454709
24,2020-08,1454154
24,2020-09,1453952
24,2020-10,1452994
24,2020-11,1451993
24,2020-12,1450062
24,2021-01,1449115
24,2021-02,1447953
24,2021-03,1445473
24,2021-04,1444787
24,2021-05,1443154
24,2021-06,1442647
24,2021-07,1442482
24,2021-08,1441970
24,2021-09,1442827
24,2021-10,1442454
24,2021-11,1442138
24,2021-12,1441611
24,2022-01,1441636
24,2022-02,1440032
24,2022-03,1438463
24,2022-04,1436916
24,2022-05,1436012
24,2022-06,1435378
24,2022-07,1434703
24,2022-08,1434397
24,2022-09,1432856
24,2022-10,1432651
24,2022-11,1432049
24,2022-12,1431050
25,2020-01,1474152
25,2020-02,1473125
25,2020-03,1471858
25,2020-04,1471650
25,2020-05,1471915
25,2020-06,1471040
25,2020-07,1470225
25,2020-08,1469431
25,2020-09,1469099
25,2020-10,1467556
25,2020-11,1465893
25,2020-12,1463882
25,2021-01,1463291
25,2021-02,1462064
25,2021-03,1458463
25,2021-04,1457619
25,2021-05,1457161
25,2021-06,1456107
25,2021-07,1455300
25,2021-08,1454679
25,2021-09,1455058
25,2021-10,1454228
25,2021-11,1453675
25,2021-12,1452251
25,2022-01,1451272
25,2022-02,1450862
25,2022-03,1450057
25,2022-04,1449360
25,2022-05,1448933
25,2022-06,1448401
25,2022-07,1448182
25,2022-08,1448240
25,2022-09,1446602
25,2022-10,1446863
25,2022-11,1446749
25,2022-12,1446072
26,2020-01,1147037
26,2020-02,1145710
26,2020-03,1144563
26,2020-04,1144098
26,2020-05,1143148
26,2020-06,1142190
26,2020-07,1141362
26,2020-08,1140310
26,2020-09,1139368
26,2020-10,1138581
26,2020-11,1137345
26,2020-12,1136017
26,2021-01,1135370
26,2021-02,1132953
26,2021-03,1129254
26,2021-04,1128163
26,2021-05,1127175
26,2021-06,1126369
26,2021-07,1125727
26,2021-08,1124459
26,2021-09,1123236
26,2021-10,1122566
26,2021-11,1122495
26,2021-12,1121592
26,2022-01,1121100
26,2022-02,1119446
26,2022-03,1118010
26,2022-04,1117204
26,2022-05,1116482
26,2022-06,1115609
26,2022-07,1114753
26,2022-08,1113458
26,2022-09,1112191
26,2022-10,1111707
26,2022-11,1111371
26,2022-12,1110663
29,2020-01,342328
29,2020-02,343788
29,2020-03,344792
29,2020-04,345216
29,2020-05,345373
29,2020-06,345341
29,2020-07,346217
29,2020-08,347232
29,2020-09,348014
29,2020-10,351007
29,2020-11,353430
29,2020-12,355831
29,2021-01,357871
29,2021-02,359569
29,2021-03,360462
29,2021-04,361396
29,2021-05,362036
29,2021-06,362995
29,2021-07,364364
29,2021-08,365309
29,2021-09,366560
29,2021-10,368276
29,2021-11,369465
29,2021-12,371895
29,2022-01,374377
29,2022-02,376399
29,2022-03,377296
29,2022-04,378196
29,2022-05,379340
29,2022-06,380215
29,2022-07,380889
29,2022-08,381439
29,2022-09,381925
29,2022-10,382258
29,2022-11,382770
29,2022-12,383591
31,2020-01,13250368
31,2020-02,13265377
31,2020-03,13288975
31,2020-04,13311254
31,2020-05,13324041
31,2020-06,13338020
31,2020-07,13351891
31,2020-08,13370714
31,2020-09,13388485
31,2020-10,13400615
31,2020-11,13413459
31,2020-12,13427014
31,2021-01,13449499
31,2021-02,13471758
31,2021-03,13465837
31,2021-04,13479798
31,2021-05,13488910
31,2021-06,13500688
31,2021-07,13512867
31,2021-08,13530519
31,2021-09,13542284
31,2021-10,13549577
31,2021-11,13557973
31,2021-12,13565450
31,2022-01,13571450
31,2022-02,13574369
31,2022-03,13575936
31,2022-04,13577808
31,2022-05,13581496
31,2022-06,13585967
31,2022-07,13589362
31,2022-08,13590056
31,2022-09,13574353
31,2022-10,13579508
31,2022-11,13583238
31,2022-12,13589432
32,2020-01,1540540
32,2020-02,1539521
32,2020-03,1538577
32,2020-04,1537780
32,2020-05,1538639
32,2020-06,1539282
32,2020-07,1540094
32,2020-08,1540689
32,2020-09,1541104
32,2020-10,1541836
32,2020-11,1542374
32,2020-12,1542840
32,2021-01,1541696
32,2021-02,1540875
32,2021-03,1536399
32,2021-04,1536175
32,2021-05,1535491
32,2021-06,1535530
32,2021-07,1536140
32,2021-08,1536270
32,2021-09,1536765
32,2021-10,1537717
32,2021-11,1538273
32,2021-12,1538492
32,2022-01,1538660
32,2022-02,1539051
32,2022-03,1539036
32,2022-04,1539038
32,2022-05,1539005
32,2022-06,1539064
32,2022-07,1539178
32,2022-08,1538801
32,2022-09,1537396
32,2022-10,1537339
32,2022-11,1536863
32,2022-12,1536498
33,2020-01,1599391
33,2020-02,1598599
33,2020-03,1597639
33,2020-04,1596613
33,2020-05,1596710
33,2020-06,1597593
33,2020-07,1597936
33,2020-08,1598162
33,2020-09,1598536
33,2020-10,1599102
33,2020-11,1599680
33,2020-12,1600837
33,2021-01,1599658
33,2021-02,1599122
33,2021-03,1595714
33,2021-04,1596303
33,2021-05,1596955
33,2021-06,1597503
33,2021-07,1597501
33,2021-08,1597179
33,2021-09,1596765
33,2021-10,1596948
33,2021-11,1597019
33,2021-12,1597427
33,2022-01,1597097
33,2022-02,1597022
33,2022-03,1597484
33,2022-04,1597284
33,2022-05,1597033
33,2022-06,1597118
33,2022-07,1597163
33,2022-08,1596886
33,2022-09,1595624
33,2022-10,1595578
33,2022-11,1595284
33,2022-12,1595058
34,2020-01,2122455
34,2020-02,2120995
34,2020-03,2119749
34,2020-04,2118457
34,2020-05,2118510
34,2020-06,2119771
34,2020-07,2120692
34,2020-08,2120519
34,2020-09,2120559
34,2020-10,2120347
34,2020-11,2120607
34,2020-12,2121029
34,2021-01,2119837
34,2021-02,2119542
34,2021-03,2115823
34,2021-04,2116452
34,2021-05,2117260
34,2021-06,2117400
34,2021-07,2118205
34,2021-08,2118183
34,2021-09,2118098
34,2021-10,2118977
34,2021-11,2119529
34,2021-12,2119257
34,2022-01,2118638
34,2022-02,2118912
34,2022-03,2119099
34,2022-04,2119296
34,2022-05,2119661
34,2022-06,2120201
34,2022-07,2121011
34,2022-08,2121082
34,2022-09,2120269
34,2022-10,2121333
34,2022-11,2122357
34,2022-12,2123037
35,2020-01,1817302
35,2020-02,1815112
35,2020-03,1812936
35,2020-04,1811619
35,2020-05,1810097
35,2020-06,1808802
35,2020-07,1808044
35,2020-08,1807094
35,2020-09,1806441
35,2020-10,1805937
35,2020-11,1805204
35,2020-12,1804104
35,2021-01,1802748
35,2021-02,1801319
35,2021-03,1797450
35,2021-04,1796331
35,2021-05,1794682
35,2021-06,1794345
35,2021-07,1793902
35,2021-08,1792476
35,2021-09,1791110
35,2021-10,1789770
35,2021-11,1788616
35,2021-12,1786855
35,2022-01,1785392
35,2022-02,1783923
35,2022-03,1782205
35,2022-04,1780824
35,2022-05,1779230
35,2022-06,1778279
35,2022-07,1776949
35,2022-08,1775664
35,2022-09,1772596
35,2022-10,1771776
35,2022-11,1770839
35,2022-12,1769607
36,2020-01,1864712
36,2020-02,1861894
36,2020-03,1859290
36,2020-04,1857083
36,2020-05,1855945
36,2020-06,1854618
36,2020-07,1853339
36,2020-08,1851985
36,2020-09,1851124
36,2020-10,1850680
36,2020-11,1850557
36,2020-12,1851549
36,2021-01,1850575
36,2021-02,1849795
36,2021-03,1844811
36,2021-04,1844148
36,2021-05,1842423
36,2021-06,1840921
36,2021-07,1839698
36,2021-08,1838353
36,2021-09,1835690
36,2021-10,1834653
36,2021-11,1833864
36,2021-12,1832803
36,2022-01,1832604
36,2022-02,1831451
36,2022-03,1829501
36,2022-04,1828550
36,2022-05,1827674
36,2022-06,1826440
36,2022-07,1825534
36,2022-08,1824104
36,2022-09,1820458
36,2022-10,1819157
36,2022-11,1818484
36,2022-12,1817697
37,2020-01,2662508
37,2020-02,2658956
37,2020-03,2653418
37,2020-04,2651054
37,2020-05,2648760
37,2020-06,2646493
37,2020-07,2644001
37,2020-08,2640932
37,2020-09,2640003
37,2020-10,2639763
37,2020-11,2639245
37,2020-12,2639422
37,2021-01,2637639
37,2021-02,2636747
37,2021-03,2635563
37,2021-04,2635896
37,2021-05,2633592
37,2021-06,2632401
37,2021-07,2631649
37,2021-08,2630254
37,2021-09,2628344
37,2021-10,2627925
37,2021-11,2627468
37,2021-12,2626609
37,2022-01,2624310
37,2022-02,2622026
37,2022-03,2619641
37,2022-04,2617552
37,2022-05,2616177
37,2022-06,2613963
37,2022-07,2612016
37,2022-08,2609356
37,2022-09,2605066
37,2022-10,2603389
37,2022-11,2602052
37,2022-12,2600492
38,2020-01,3361344
38,2020-02,3358828
38,2020-03,3355341
38,2020-04,3353380
38,2020-05,3351347
38,2020-06,3349454
38,2020-07,3347637
38,2020-08,3345169
38,2020-09,3343770
38,2020-10,3342831
38,2020-11,3341063
38,2020-12,3340216
38,2021-01,3338396
38,2021-02,3336045
38,2021-03,3330463
38,2021-04,3329623
38,2021-05,3327298
38,2021-06,3325840
38,2021-07,3324735
38,2021-08,3322373
38,2021-09,3319271
38,2021-10,3318161
38,2021-11,3316365
38,2021-12,3314183
38,2022-01,3311438
38,2022-02,3307005
38,2022-03,3303274
38,2022-04,3300692
38,2022-05,3298016
38,2022-06,3295615
38,2022-07,3293709
38,2022-08,3290991
38,2022-09,3286470
38,2022-10,3284495
38,2022-11,3282849
38,2022-12,3280493
39,2020-01,670749
39,2020-02,670876
39,2020-03,670508
39,2020-04,670595
39,2020-05,670793
39,2020-06,671316
39,2020-07,671913
39,2020-08,672524
39,2020-09,672948
39,2020-10,673606
39,2020-11,674001
39,2020-12,674635
39,2021-01,674615
39,2021-02,675137
39,2021-03,673974
39,2021-04,674484
39,2021-05,674877
39,2021-06,675293
39,2021-07,675876
39,2021-08,675883
39,2021-09,676079
39,2021-10,676569
39,2021-11,676768
39,2021-12,676759
39,2022-01,676691
39,2022-02,677143
39,2022-03,677218
39,2022-04,677413
39,2022-05,677766
39,2022-06,678012
39,2022-07,678491
39,2022-08,679016
39,2022-09,678426
39,2022-10,678324
39,2022-11,678373
39,2022-12,678159
